0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",-8556177,34798371,"The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",75489388,77366527,"The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,379335,9017295,"The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars)"
(ii)Other securities,6160597,99263359,"The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars)"
(i) Debt,304109479,320550081,"The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars)"
(ii) Shares,60791574,76012669,"The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars)"
(ii) To regulated financial institutions,1900230,1971024,"The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,1886470,"The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars)"
(iv) To foreign governments,15662654,15662654,"The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars)"
(v) Lease receivables,6152492,7675726,"The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars)"
(vi) To individuals for non-business purposes,76151049,260769342,"The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars)"
Of (A) Secured by residential property,11057766,132110157,"The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars)"
which: (B) Secured by other than residential property,45669143,78007715,"The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars)"
(vii) Reverse repurchase agreements,142479188,212917948,"The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars)"
