0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Total All Banks, As At November 30, 2019, (in thousands of dollars), Total All Banks, As At November 30, 2019, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total All Banks, As At November 30, 2019, (in thousands of dollars), Total All Banks, As At November 30, 2019, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",13673250,36167605,"Total All Banks, As At November 30, 2019, (in thousands of dollars), Total All Banks, As At November 30, 2019, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",227316074,271488371,"Total All Banks, As At November 30, 2019, (in thousands of dollars), Total All Banks, As At November 30, 2019, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total All Banks, As At November 30, 2019, (in thousands of dollars), Total All Banks, As At November 30, 2019, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total All Banks, As At November 30, 2019, (in thousands of dollars), Total All Banks, As At November 30, 2019, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,8851147,112767508,"Total All Banks, As At November 30, 2019, (in thousands of dollars), Total All Banks, As At November 30, 2019, (in thousands of dollars)"
(ii)Other securities,18657504,210854119,"Total All Banks, As At November 30, 2019, (in thousands of dollars), Total All Banks, As At November 30, 2019, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total All Banks, As At November 30, 2019, (in thousands of dollars), Total All Banks, As At November 30, 2019, (in thousands of dollars)"
(i) Debt,638180421,695706829,"Total All Banks, As At November 30, 2019, (in thousands of dollars), Total All Banks, As At November 30, 2019, (in thousands of dollars)"
(ii) Shares,194593920,319507244,"Total All Banks, As At November 30, 2019, (in thousands of dollars), Total All Banks, As At November 30, 2019, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total All Banks, As At November 30, 2019, (in thousands of dollars), Total All Banks, As At November 30, 2019, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Total All Banks, As At November 30, 2019, (in thousands of dollars), Total All Banks, As At November 30, 2019, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",4174195,4662935,"Total All Banks, As At November 30, 2019, (in thousands of dollars), Total All Banks, As At November 30, 2019, (in thousands of dollars)"
(ii) To regulated financial institutions,77966569,86647421,"Total All Banks, As At November 30, 2019, (in thousands of dollars), Total All Banks, As At November 30, 2019, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",4425,4480614,"Total All Banks, As At November 30, 2019, (in thousands of dollars), Total All Banks, As At November 30, 2019, (in thousands of dollars)"
