0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",28540623,336617773,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",270631317,309728275,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,9025820,157772868,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(ii)Other securities,22780796,265440182,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(i) Debt,734845707,796183929,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(ii) Shares,165174756,278257095,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",2373916,2632294,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(ii) To regulated financial institutions,78750332,88137003,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",4238,4456650,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(iv) To foreign governments,24687721,24687721,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(v) Lease receivables,14228373,30735922,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(vi) To individuals for non-business purposes,119253689,639988202,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
Of (A) Secured by residential property,17927247,271714068,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
which: (B) Secured by other than residential property,58530027,173367559,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(vii) Reverse repurchase agreements,589882499,826213885,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(viii) To individuals and others for business purposes,563388140,945722160,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
Of (A) Secured by residential property,7122321,36345045,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
which: (B) Secured by other than residential property,275176628,493544389,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
