0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Caisse populaire acadienne ltée (UNI), As At January 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At January 31, 2024, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Caisse populaire acadienne ltée (UNI), As At January 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At January 31, 2024, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",2161,47562,"Caisse populaire acadienne ltée (UNI), As At January 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At January 31, 2024, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",19983,160003,"Caisse populaire acadienne ltée (UNI), As At January 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At January 31, 2024, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Caisse populaire acadienne ltée (UNI), As At January 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At January 31, 2024, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Caisse populaire acadienne ltée (UNI), As At January 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At January 31, 2024, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,0,109947,"Caisse populaire acadienne ltée (UNI), As At January 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At January 31, 2024, (in thousands of dollars)"
(ii)Other securities,0,204846,"Caisse populaire acadienne ltée (UNI), As At January 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At January 31, 2024, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Caisse populaire acadienne ltée (UNI), As At January 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At January 31, 2024, (in thousands of dollars)"
(i) Debt,58,91349,"Caisse populaire acadienne ltée (UNI), As At January 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At January 31, 2024, (in thousands of dollars)"
(ii) Shares,0,6964,"Caisse populaire acadienne ltée (UNI), As At January 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At January 31, 2024, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Caisse populaire acadienne ltée (UNI), As At January 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At January 31, 2024, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Caisse populaire acadienne ltée (UNI), As At January 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At January 31, 2024, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"Caisse populaire acadienne ltée (UNI), As At January 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At January 31, 2024, (in thousands of dollars)"
(ii) To regulated financial institutions,0,23126,"Caisse populaire acadienne ltée (UNI), As At January 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At January 31, 2024, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,34703,"Caisse populaire acadienne ltée (UNI), As At January 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At January 31, 2024, (in thousands of dollars)"
(iv) To foreign governments,0,0,"Caisse populaire acadienne ltée (UNI), As At January 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At January 31, 2024, (in thousands of dollars)"
